prices,date,sentiment_score
76286.57710950871,2026-05-01,0.0
78172.07422147921,2026-05-02,0.0
78655.34555331903,2026-05-03,0.0
78562.55051754859,2026-05-04,0.0
79823.88555955577,2026-05-05,0.0
80925.09365495079,2026-05-06,0.0
81424.99515650333,2026-05-07,0.0
80022.04125006415,2026-05-08,0.0
80189.06503567853,2026-05-09,0.0
80678.03394296461,2026-05-10,0.0
82145.65606759128,2026-05-11,0.0
81725.20771701908,2026-05-12,0.0
80480.88600120835,2026-05-13,0.0
79277.8045183824,2026-05-14,0.0
81051.9828878728,2026-05-15,0.0
79068.82024044942,2026-05-16,0.0
78135.00994863857,2026-05-17,0.0
77425.71519168488,2026-05-18,0.0
76952.2148594993,2026-05-19,0.0
76808.8105527178,2026-05-20,0.0
77459.94434557436,2026-05-21,0.0
77546.33765297421,2026-05-22,0.0
75482.52379955728,2026-05-23,0.0
76672.79289056802,2026-05-24,0.0
76988.16126107218,2026-05-25,0.0
77274.40152182181,2026-05-26,0.0
75824.06332542913,2026-05-27,0.0
74352.69928002391,2026-05-28,0.0
73539.84189606174,2026-05-29,-0.0025589999999999975
73382.71831425565,2026-05-30,0.0
73771.55863399465,2026-05-30,0.0
